order_id,order_date,region,customer_type,category,payment_method,units_sold,revenue,cost,profit,marketing_spend,customer_satisfaction,delivery_days,returns
ORD-10001,2026-01-01,South,Enterprise,Phone,Credit Card,6,2935.42,2143.98,791.44,124.16,4.38,6.1,1
ORD-10002,2026-01-02,West,New,Phone,Debit Card,1,629.13,380.84,248.29,148.31,3.77,2.2,0
ORD-10003,2026-01-03,West,Returning,Accessory,Credit Card,9,705.97,444.16,261.81,196.46,4.38,5.2,0
ORD-10004,2026-01-04,East,New,Phone,Credit Card,1,590.76,467.89,122.87,213.13,4.72,5.3,0
ORD-10005,2026-01-05,North,Returning,Laptop,Net Banking,5,4719.31,2612.19,2107.12,602.9,4.53,3.7,0
ORD-10006,2026-01-06,North,New,Monitor,Net Banking,4,1136.22,651.16,485.07,414.79,4.33,6.4,1
ORD-10007,2026-01-07,North,New,Tablet,Credit Card,13,4797.61,2907.97,1889.64,390.2,4.69,4.0,1
ORD-10008,2026-01-08,West,Returning,Monitor,Net Banking,12,3451.54,1923.07,1528.47,124.6,4.76,4.4,1
ORD-10009,2026-01-09,East,New,Monitor,Net Banking,13,3798.91,2275.5,1523.41,609.09,4.9,3.9,0
ORD-10010,2026-01-10,East,New,Laptop,Credit Card,13,12110.75,8567.4,3543.35,519.83,4.42,4.2,0
ORD-10011,2026-01-11,North,New,Monitor,Debit Card,14,3890.39,2582.38,1308.01,93.98,3.89,2.4,2
ORD-10012,2026-01-12,West,New,Tablet,Credit Card,3,1124.05,889.15,234.9,510.09,4.1,1.9,0
ORD-10013,2026-01-13,West,New,Laptop,Net Banking,13,10427.29,8036.41,2390.88,403.3,4.78,6.8,0
ORD-10014,2026-01-14,North,New,Phone,Debit Card,6,3200.4,2055.58,1144.81,103.12,,2.8,0
ORD-10015,2026-01-15,North,Returning,Accessory,UPI,2,159.47,98.88,60.59,347.9,4.24,2.6,1
ORD-10016,2026-01-16,North,Returning,Accessory,Debit Card,3,233.63,152.45,81.18,365.05,3.74,1.0,0
ORD-10017,2026-01-17,South,Returning,Monitor,Net Banking,5,1354.52,960.87,393.65,157.75,4.02,3.2,0
ORD-10018,2026-01-18,South,New,Accessory,Debit Card,9,793.5,493.85,299.64,664.7,4.83,2.1,0
ORD-10019,2026-01-19,South,Enterprise,Phone,Credit Card,2,1154.9,829.82,325.08,602.48,4.12,6.8,0
ORD-10020,2026-01-20,South,New,Phone,UPI,10,5105.57,3372.44,1733.13,484.86,4.03,5.8,1
ORD-10021,2026-01-21,East,New,Accessory,UPI,8,530.15,370.6,159.55,350.49,3.12,3.1,1
ORD-10022,2026-01-22,North,Returning,Accessory,UPI,14,945.47,631.34,314.13,317.65,4.49,7.8,0
ORD-10023,2026-01-23,South,New,Accessory,Net Banking,2,139.67,87.93,51.75,473.13,4.42,5.8,0
ORD-10024,2026-01-24,South,New,Tablet,Net Banking,11,4171.97,3362.96,809.02,404.53,5.0,3.7,0
ORD-10025,2026-01-25,South,Returning,Phone,UPI,13,6517.7,4928.52,1589.19,90.48,3.8,1.0,1
ORD-10026,2026-01-26,West,Enterprise,Phone,Debit Card,5,2596.22,1526.14,1070.08,383.13,4.14,7.9,1
ORD-10027,2026-01-27,North,Returning,Accessory,UPI,7,476.29,373.64,102.65,574.16,4.16,2.0,0
ORD-10028,2026-01-28,South,Returning,Monitor,Debit Card,8,2566.89,1749.61,817.28,348.51,5.0,1.6,0
ORD-10029,2026-01-29,East,Enterprise,Accessory,Debit Card,1,65.74,52.03,13.7,83.77,3.94,5.8,0
ORD-10030,2026-01-30,North,New,Accessory,Net Banking,6,460.39,352.64,107.75,561.08,4.18,8.1,2
ORD-10031,2026-01-31,East,New,Tablet,Debit Card,1,413.88,275.15,138.73,180.89,4.4,6.4,0
ORD-10032,2026-02-01,North,New,Phone,UPI,2,1291.6,718.22,573.39,218.1,4.12,5.1,0
ORD-10033,2026-02-02,North,New,Phone,Net Banking,1,487.84,303.7,184.14,157.06,3.71,5.2,0
ORD-10034,2026-02-03,West,New,Laptop,Credit Card,11,9175.08,6388.07,2787.01,264.64,4.13,5.6,0
ORD-10035,2026-02-04,West,Enterprise,Monitor,Credit Card,5,1637.9,1180.99,456.91,541.89,4.7,5.4,0
ORD-10036,2026-02-05,West,Returning,Laptop,Net Banking,10,9652.75,5981.13,3671.62,387.6,3.33,4.6,0
ORD-10037,2026-02-06,South,Returning,Phone,UPI,9,5542.19,3256.73,2285.45,183.17,4.09,4.4,1
ORD-10038,2026-02-07,North,New,Monitor,Credit Card,6,1570.98,1218.19,352.79,620.59,3.54,4.1,1
ORD-10039,2026-02-08,East,Returning,Phone,Credit Card,11,5483.68,4473.52,1010.16,,4.78,3.0,1
ORD-10040,2026-02-09,South,Enterprise,Monitor,Debit Card,11,3297.61,2281.74,1015.87,615.88,3.01,3.8,1
ORD-10041,2026-02-10,North,Returning,Laptop,Debit Card,1,983.19,586.33,396.86,205.22,3.64,1.5,0
ORD-10042,2026-02-11,South,New,Laptop,UPI,13,11422.74,7122.34,4300.4,343.31,4.25,4.0,3
ORD-10043,2026-02-12,North,Returning,Accessory,Net Banking,1,77.9,43.23,34.67,690.24,5.0,2.6,0
ORD-10044,2026-02-13,West,New,Phone,UPI,2,1036.63,826.05,210.58,551.81,3.96,2.4,0
ORD-10045,2026-02-14,South,New,Laptop,Net Banking,9,8445.08,4913.29,3531.8,67.66,3.64,4.5,3
ORD-10046,2026-02-15,East,New,Monitor,Credit Card,3,765.85,540.43,225.42,92.38,5.0,6.4,0
ORD-10047,2026-02-16,South,Returning,Accessory,Debit Card,1,71.76,44.78,26.98,351.56,3.06,5.7,0
ORD-10048,2026-02-17,South,Returning,Laptop,UPI,5,4209.17,2944.86,1264.32,640.99,2.57,1.7,1
ORD-10049,2026-02-18,East,New,Monitor,UPI,7,1994.32,1447.65,546.68,400.16,4.29,2.6,1
ORD-10050,2026-02-19,North,New,Laptop,Net Banking,6,4742.98,3671.21,1071.77,373.58,3.67,5.7,1
ORD-10051,2026-02-20,West,New,Laptop,Net Banking,12,9056.54,5485.85,3570.69,118.56,3.34,2.6,0
ORD-10052,2026-02-21,West,New,Monitor,UPI,1,294.42,162.81,131.62,476.91,4.46,3.8,0
ORD-10053,2026-02-22,West,New,Monitor,Net Banking,5,1323.35,776.75,546.6,584.37,4.16,5.1,1
ORD-10054,2026-02-23,West,New,Monitor,UPI,5,1458.53,1156.62,301.91,297.27,3.63,2.7,0
ORD-10055,2026-02-24,East,Returning,Accessory,UPI,6,405.42,318.64,86.78,554.15,3.17,4.4,0
ORD-10056,2026-02-25,West,New,Tablet,UPI,3,1271.06,904.11,366.95,676.91,4.57,2.1,0
ORD-10057,2026-02-26,North,New,Phone,Credit Card,5,2820.82,2008.82,812.0,182.45,4.42,3.2,0
ORD-10058,2026-02-27,North,New,Phone,,7,3338.34,2435.52,902.82,390.16,3.94,4.7,1
ORD-10059,2026-02-28,North,Enterprise,Accessory,Debit Card,5,360.4,215.29,145.12,236.64,5.0,1.7,1
ORD-10060,2026-03-01,South,Returning,Phone,Debit Card,5,2459.48,1959.94,499.54,565.36,3.3,4.9,0
ORD-10061,2026-03-02,South,Returning,Phone,Net Banking,5,2395.01,1588.06,806.96,425.44,3.01,4.2,0
ORD-10062,2026-03-03,South,New,Laptop,UPI,10,10001.84,6535.68,3466.16,462.48,3.55,5.1,0
ORD-10063,2026-03-04,West,Returning,Laptop,Debit Card,10,8129.2,5610.03,2519.18,568.64,3.97,4.6,2
ORD-10064,2026-03-05,South,New,Tablet,Debit Card,3,1407.75,792.11,615.63,307.38,4.16,6.4,0
